"","geo_id","fips_state","name","iso_3166_2","census","pop_estimataes_base","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014"
"1","0400000US04","04","Arizona","AZ",6392017,6392310,6411999,6472867,6556236,6634997,6731484
"2","0400000US05","05","Arkansas","AR",2915918,2915958,2922297,2938430,2949300,2958765,2966369
"3","0400000US06","06","California","CA",37253956,37254503,37336011,37701901,38062780,38431393,38802500
"4","0400000US08","08","Colorado","CO",5029196,5029324,5048575,5119661,5191709,5272086,5355866
"5","0400000US09","09","Connecticut","CT",3574097,3574096,3579345,3590537,3594362,3599341,3596677
"6","0400000US11","11","District of Columbia","DC",601723,601767,605210,620427,635040,649111,658893
"7","0400000US13","13","Georgia","GA",9687653,9688681,9714464,9813201,9919000,9994759,10097343
"8","0400000US17","17","Illinois","IL",12830632,12831587,12840097,12858725,12873763,12890552,12880580
"9","0400000US18","18","Indiana","IN",6483802,6484192,6490308,6516560,6537632,6570713,6596855
"10","0400000US22","22","Louisiana","LA",4533372,4533479,4545581,4575972,4604744,4629284,4649676
"11","0400000US27","27","Minnesota","MN",5303925,5303925,5310418,5348036,5380615,5422060,5457173
"12","0400000US28","28","Mississippi","MS",2967297,2968103,2970811,2978464,2986137,2992206,2994079
"13","0400000US30","30","Montana","MT",989415,989417,990575,997661,1005163,1014864,1023579
"14","0400000US35","35","New Mexico","NM",2059179,2059192,2064950,2078407,2084594,2086895,2085572
"15","0400000US38","38","North Dakota","ND",672591,672591,674345,685242,701705,723857,739482
"16","0400000US40","40","Oklahoma","OK",3751351,3751616,3759481,3786527,3817059,3853118,3878051
"17","0400000US42","42","Pennsylvania","PA",12702379,12702884,12711077,12743995,12770043,12781296,12787209
"18","0400000US47","47","Tennessee","TN",6346105,6346275,6356628,6398389,6455177,6497269,6549352
"19","0400000US51","51","Virginia","VA",8001024,8001023,8025376,8110188,8193422,8270345,8326289
"20","0400000US10","10","Delaware","DE",897934,897936,899731,907829,916881,925240,935614
"21","0400000US54","54","West Virginia","WV",1852994,1853033,1854176,1854982,1856313,1853595,1850326
"22","0400000US55","55","Wisconsin","WI",5686986,5687289,5689268,5708785,5724888,5742953,5757564
"23","0400000US56","56","Wyoming","WY",563626,563767,564358,567631,576893,583223,584153
"24","0400000US01","01","Alabama","AL",4779736,4780127,4785822,4801695,4817484,4833996,4849377
"25","0400000US12","12","Florida","FL",18801310,18804623,18852220,19107900,19355257,19600311,19893297
"26","0400000US16","16","Idaho","ID",1567582,1567652,1570639,1583780,1595590,1612843,1634464
"27","0400000US20","20","Kansas","KS",2853118,2853132,2858949,2869965,2885966,2895801,2904021
"28","0400000US24","24","Maryland","MD",5773552,5773785,5788101,5843833,5891819,5938737,5976407
"29","0400000US34","34","New Jersey","NJ",8791894,8791936,8803580,8842614,8876000,8911502,8938175
"30","0400000US37","37","North Carolina","NC",9535483,9535691,9559488,9651502,9748181,9848917,9943964
"31","0400000US45","45","South Carolina","SC",4625364,4625401,4636290,4673054,4722621,4771929,4832482
"32","0400000US53","53","Washington","WA",6724540,6724543,6741911,6822112,6896325,6973742,7061530
"33","0400000US50","50","Vermont","VT",625741,625745,625792,626450,626138,626855,626562
"34","0400000US49","49","Utah","UT",2763885,2763885,2774346,2815324,2855194,2902787,2942902
"35","0400000US19","19","Iowa","IA",3046355,3046869,3050295,3064904,3075935,3092341,3107126
"36","0400000US21","21","Kentucky","KY",4339367,4339349,4349838,4370038,4383465,4399583,4413457
"37","0400000US23","23","Maine","ME",1328361,1328361,1327361,1327930,1328592,1328702,1330089
"38","0400000US25","25","Massachusetts","MA",6547629,6547817,6564073,6612270,6655829,6708874,6745408
"39","0400000US26","26","Michigan","MI",9883640,9884133,9876498,9875736,9884781,9898193,9909877
"40","0400000US29","29","Missouri","MO",5988927,5988923,5996085,6010544,6025281,6044917,6063589
"41","0400000US31","31","Nebraska","NE",1826341,1826341,1829865,1842232,1855487,1868969,1881503
"42","0400000US32","32","Nevada","NV",2700551,2700692,2703493,2718586,2755245,2791494,2839099
"43","0400000US33","33","New Hampshire","NH",1316470,1316466,1316517,1318109,1321297,1322616,1326813
"44","0400000US36","36","New York","NY",19378102,19378112,19400867,19521745,19607140,19695680,19746227
"45","0400000US39","39","Ohio","OH",11536504,11536725,11540070,11544757,11550901,11572005,11594163
"46","0400000US41","41","Oregon","OR",3831074,3831073,3837083,3867644,3898684,3928068,3970239
"47","0400000US44","44","Rhode Island","RI",1052567,1052931,1053078,1052020,1052637,1053354,1055173
"48","0400000US46","46","South Dakota","SD",814180,814191,816192,824171,834504,845510,853175
"49","0400000US48","48","Texas","TX",25145561,25146104,25245717,25657477,26094422,26505637,26956958
"50","0400000US02","02","Alaska","AK",710231,710249,713856,722572,731081,737259,736732
"51","0400000US15","15","Hawaii","HI",1360301,1360301,1363950,1378251,1392766,1408987,1419561
